pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_teff,st_mass,sy_dist
L 98-59 b,L 98-59,Transit,2019,0.46,0.837,2.253114,620.0,3415.0,0.2923,10.6194
L 98-59 c,L 98-59,Transit,2019,2.0,1.329,3.6906764,526.0,3415.0,0.2923,10.6194
L 98-59 d,L 98-59,Transit,2019,1.64,1.627,7.450729,416.0,3415.0,0.2923,10.6194
L 98-59 e,L 98-59,Radial Velocity,2021,2.82,,12.8278,347.0,3415.0,0.2923,10.6194
L 98-59 f,L 98-59,Radial Velocity,2025,2.8,,23.064,285.0,3415.0,0.2923,10.6194
WASP-69 b,WASP-69,Transit,2014,82.58,11.21,3.86813881,971.0,4792.0,0.83,49.9605
HIP 41378 d,HIP 41378,Transit,2016,4.6,3.54,278.3618,367.0,6320.0,1.16,106.289
HIP 41378 e,HIP 41378,Transit,2016,12.0,4.92,369.0,335.0,6320.0,1.16,106.289
AU Mic e,AU Mic,Radial Velocity,2025,21.1,,33.11,,3665.0,0.6,9.7221
TOI-270 b,TOI-270,Transit,2019,1.48,1.28,3.35992,600.0,3506.0,0.386,22.4793
TOI-270 c,TOI-270,Transit,2019,6.2,2.33,5.66051,489.0,3506.0,0.386,22.4793
TOI-270 d,TOI-270,Transit,2019,4.2,2.0,11.38194,383.0,3506.0,0.386,22.4793
TOI-6109 b,TOI-6109,Transit,2025,,4.8704,5.690476,,5660.0,1.03,151.738
TOI-6109 c,TOI-6109,Transit,2025,,4.8326,8.538878,,5660.0,1.03,151.738
WASP-6 b,WASP-6,Transit,2009,148.42586607,12.5428494,3.3610026,1167.0,5438.0,0.854,197.119
WASP-25 b,WASP-25,Transit,2010,179.25522155,13.80946422,3.7648337,1217.0,5697.0,0.962,211.416
55 Cnc B b,55 Cnc B,Radial Velocity,2025,3.5,,6.7994,,3286.0,0.26,12.4773
55 Cnc B c,55 Cnc B,Radial Velocity,2025,5.3,,33.747,,3286.0,0.26,12.4773
55 Cnc b,55 Cnc,Radial Velocity,1996,276.0,,14.651552,,5198.0,1.015,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,56.6,,44.3936,,5198.0,1.015,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,1214.10451474,,4799.0,,5198.0,1.015,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,48.5,,260.58,,5198.0,1.015,12.5855
TOI-1685 b,TOI-1685,Transit,2021,3.07,1.421,0.66913923,1000.0,3470.0,0.466,37.6153
